Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-01;IVT;???;100004;0;3;100;92;100;9;301
2025-08-01;IVT;???;100140;0;3;95;97;96;8;296
2025-08-01;IVT;???;100055;0;3;100;100;84;8;292
2025-08-01;IVT;???;100120;0;2;80;94;100;8;282
2025-08-01;IVT;???;100000;0;2;73;100;97;7;277
2025-08-01;IVT;???;100136;1;3;78;93;100;4;275
2025-08-01;IVT;???;100125;0;2;79;90;97;6;272
2025-08-01;IVT;???;100071;1;2;79;86;100;3;268
2025-08-01;IVT;???;100070;0;2;62;98;97;10;267
2025-08-01;IVT;???;100124;0;3;98;69;99;1;267
2025-08-01;IVT;???;100103;0;2;85;72;99;8;264
2025-08-01;IVT;???;100041;0;3;88;97;78;0;263
2025-08-01;IVT;???;100116;1;4;84;78;98;1;261
2025-08-01;IVT;???;100105;0;4;65;90;98;7;260
2025-08-01;IVT;???;100007;0;2;80;79;100;0;259
2025-08-01;IVT;???;100001;1;4;76;84;89;9;258
2025-08-01;IVT;???;100043;1;3;96;89;66;6;257
2025-08-01;IVT;???;100077;0;3;98;74;83;1;256
2025-08-01;IVT;???;100126;1;3;91;71;94;0;256
2025-08-01;IVT;???;100005;1;2;86;77;89;3;255
2025-08-01;IVT;???;100050;0;2;74;98;80;1;253
2025-08-01;IVT;???;100175;0;1;72;100;75;6;253
2025-08-01;IVT;???;100033;0;3;78;79;95;0;252
2025-08-01;IVT;???;100049;0;2;88;59;96;9;252
2025-08-01;IVT;???;100098;0;2;100;66;84;2;252
2025-08-01;IVT;???;100114;0;3;88;64;99;0;251
2025-08-01;IVT;???;100035;0;2;74;90;79;7;250
2025-08-01;IVT;???;100003;0;3;73;73;100;3;249
2025-08-01;IVT;???;100059;0;2;91;72;76;10;249
2025-08-01;IVT;???;100009;0;4;90;73;78;7;248
2025-08-01;IVT;???;100052;1;3;72;81;92;2;247
2025-08-01;IVT;???;100051;0;2;91;92;57;5;245
2025-08-01;IVT;???;100138;0;1;76;70;91;7;244
2025-08-01;IVT;???;100142;0;3;96;85;54;7;242
2025-08-01;IVT;???;100130;0;3;100;91;47;3;241
2025-08-01;IVT;???;100047;0;2;67;93;69;10;239
2025-08-01;IVT;???;100107;0;4;74;64;92;9;239
2025-08-01;IVT;???;100117;1;3;91;75;72;1;239
2025-08-01;IVT;???;100072;0;2;88;99;51;0;238
2025-08-01;IVT;???;100096;0;1;76;76;84;2;238
2025-08-01;IVT;???;100100;0;3;85;67;78;8;238
2025-08-01;IVT;???;100178;0;3;69;94;69;6;238
2025-08-01;IVT;???;100106;0;2;87;57;88;4;236
2025-08-01;IVT;???;100141;0;3;61;76;96;3;236
2025-08-01;IVT;???;100053;0;2;79;55;100;1;235
2025-08-01;IVT;???;100058;0;3;86;54;87;8;235
2025-08-01;IVT;???;100080;0;3;59;85;84;7;235
2025-08-01;IVT;???;100112;0;4;76;100;50;9;235
2025-08-01;IVT;???;100042;0;3;99;52;78;5;234
2025-08-01;IVT;???;100132;0;4;49;76;100;8;233
2025-08-01;IVT;???;100056;0;2;62;99;59;10;230
2025-08-01;IVT;???;100133;0;3;71;58;100;0;229
2025-08-01;IVT;???;100054;1;1;72;87;59;10;228
2025-08-01;IVT;???;100179;0;3;47;90;84;7;228
2025-08-01;IVT;???;100002;1;2;61;68;96;2;227
2025-08-01;IVT;???;100135;0;4;97;57;72;1;227
2025-08-01;IVT;???;100109;0;2;53;84;82;6;225
2025-08-01;IVT;???;100008;0;4;92;49;74;8;223
2025-08-01;IVT;???;100131;0;2;100;67;52;3;222
2025-08-01;IVT;???;100079;1;3;81;59;80;1;221
2025-08-01;IVT;???;100101;0;2;68;59;93;1;221
2025-08-01;IVT;???;100111;0;1;54;99;62;5;220
2025-08-01;IVT;???;100122;0;3;59;67;85;9;220
2025-08-01;IVT;???;100129;0;2;82;55;74;9;220
2025-08-01;IVT;???;100034;0;1;65;83;70;0;218
2025-08-01;IVT;???;100046;0;1;70;63;78;7;218
2025-08-01;IVT;???;100110;0;3;77;82;51;6;216
2025-08-01;IVT;???;100128;0;1;80;47;82;4;213
2025-08-01;IVT;???;100037;0;3;73;61;73;5;212
2025-08-01;IVT;???;100057;1;2;75;78;52;7;212
2025-08-01;IVT;???;100073;1;2;61;53;88;10;212
2025-08-01;IVT;???;100137;0;3;96;58;55;3;212
2025-08-01;IVT;???;100139;0;3;60;58;87;7;212
2025-08-01;IVT;???;100097;0;1;96;59;51;5;211
2025-08-01;IVT;???;100078;1;4;59;77;65;9;210
2025-08-01;IVT;???;100115;0;3;100;48;52;10;210
2025-08-01;IVT;???;100176;1;3;66;60;77;7;210
2025-08-01;IVT;???;100036;0;3;51;76;74;8;209
2025-08-01;IVT;???;100118;0;3;78;59;69;3;209
2025-08-01;IVT;???;100119;0;2;85;74;49;0;208
2025-08-01;IVT;???;100045;0;3;62;62;75;8;207
2025-08-01;IVT;???;100095;1;1;82;59;62;4;207
2025-08-01;IVT;???;100094;1;1;61;94;51;0;206
2025-08-01;IVT;???;100123;1;2;100;49;50;5;204
2025-08-01;IVT;???;100121;0;2;49;52;98;4;203
2025-08-01;IVT;???;100104;0;1;62;79;59;1;201
2025-08-01;IVT;???;100177;0;1;65;66;68;2;201
2025-08-01;IVT;???;100038;0;3;52;81;61;6;200
2025-08-01;IVT;???;100076;0;2;79;54;66;0;199
2025-08-01;IVT;???;100108;0;3;65;54;75;2;196
2025-08-01;IVT;???;100113;0;3;57;66;64;9;196
2025-08-01;IVT;???;100134;0;3;59;55;74;0;188
2025-08-01;IVT;???;100099;0;4;49;62;70;5;186
2025-08-01;IVT;???;100039;0;2;49;65;62;7;183
2025-08-01;IVT;???;100040;0;3;64;61;48;10;183
2025-08-01;IVT;???;100102;0;2;47;57;77;1;182
2025-08-01;IVT;???;100044;1;2;62;48;61;9;180
2025-08-01;IVT;???;100006;1;4;65;48;51;10;174
2025-08-01;IVT;???;100127;0;2;54;56;58;6;174
2025-08-01;IVT;???;100048;0;2;49;69;50;5;173
