Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-02;IB;??;100248;1;2;100;100;98;3;301
2025-08-02;IB;??;100470;1;2;94;100;96;9;299
2025-08-02;IB;??;100294;1;1;100;85;100;9;294
2025-08-02;IB;??;100390;1;3;84;99;100;9;292
2025-08-02;IB;??;100399;1;2;100;88;97;6;291
2025-08-02;IB;??;100435;1;2;100;87;100;4;291
2025-08-02;IB;??;100368;1;1;100;99;84;6;289
2025-08-02;IB;??;100354;0;1;100;83;99;6;288
2025-08-02;IB;??;100233;0;3;100;91;92;2;285
2025-08-02;IB;??;100380;1;4;100;83;100;0;283
2025-08-02;IB;??;100247;0;1;74;100;99;6;279
2025-08-02;IB;??;100388;1;1;94;99;77;9;279
2025-08-02;IB;??;100729;0;1;98;79;98;4;279
2025-08-02;IB;??;100472;1;1;87;90;100;1;278
2025-08-02;IB;??;100356;1;2;90;78;100;9;277
2025-08-02;IB;??;100702;0;2;88;92;94;3;277
2025-08-02;IB;??;100296;1;4;92;97;83;4;276
2025-08-02;IB;??;100367;1;3;77;94;100;4;275
2025-08-02;IB;??;100379;0;4;87;100;84;3;274
2025-08-02;IB;??;100382;1;4;100;86;78;10;274
2025-08-02;IB;??;100688;1;4;87;87;94;6;274
2025-08-02;IB;??;100291;0;2;100;86;85;2;273
2025-08-02;IB;??;100270;1;3;79;92;98;3;272
2025-08-02;IB;??;100280;1;3;89;94;80;9;272
2025-08-02;IB;??;100411;0;1;71;100;94;7;272
2025-08-02;IB;??;100351;1;4;94;100;72;5;271
2025-08-02;IB;??;100438;1;4;98;66;98;9;271
2025-08-02;IB;??;100689;0;3;87;98;82;4;271
2025-08-02;IB;??;100282;1;3;98;71;100;1;270
2025-08-02;IB;??;100374;0;4;87;93;80;10;270
2025-08-02;IB;??;100695;1;4;98;73;94;5;270
2025-08-02;IB;??;100736;1;3;87;100;82;1;270
2025-08-02;IB;??;100245;1;1;90;90;85;4;269
2025-08-02;IB;??;100285;1;2;95;72;100;2;269
2025-08-02;IB;??;100687;0;2;92;81;93;3;269
2025-08-02;IB;??;100288;0;1;87;95;81;4;267
2025-08-02;IB;??;100373;1;4;100;63;94;10;267
2025-08-02;IB;??;100680;1;3;69;100;90;8;267
2025-08-02;IB;??;100696;1;1;84;84;92;7;267
