Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-03;PM;??;101627;0;1;98;100;100;9;307
2025-08-03;PM;??;101974;1;1;100;98;100;9;307
2025-08-03;PM;??;101155;1;1;100;100;100;5;305
2025-08-03;PM;??;101724;0;2;96;100;100;9;305
2025-08-03;PM;??;101412;1;3;100;100;99;5;304
2025-08-03;PM;??;101429;1;3;100;100;100;4;304
2025-08-03;PM;??;101897;1;1;100;100;95;9;304
2025-08-03;PM;??;101413;1;1;100;100;100;2;302
2025-08-03;PM;??;101050;0;1;98;100;100;3;301
2025-08-03;PM;??;101137;1;1;100;100;97;4;301
2025-08-03;PM;??;101269;1;1;100;100;100;0;300
2025-08-03;PM;??;101274;0;1;100;100;95;5;300
2025-08-03;PM;??;101330;0;1;100;100;100;0;300
2025-08-03;PM;??;101733;1;2;100;91;100;8;299
2025-08-03;PM;??;100788;1;1;89;100;100;9;298
2025-08-03;PM;??;100794;1;4;89;100;100;9;298
2025-08-03;PM;??;101403;1;4;99;97;100;2;298
2025-08-03;PM;??;101673;1;1;98;93;100;7;298
2025-08-03;PM;??;101257;1;1;100;91;100;4;295
2025-08-03;PM;??;101393;0;3;87;100;100;8;295
2025-08-03;PM;??;101450;0;1;100;100;91;4;295
2025-08-03;PM;??;101383;1;1;98;100;94;2;294
2025-08-03;PM;??;101428;0;1;92;100;95;7;294
2025-08-03;PM;??;100819;0;1;97;94;100;1;292
2025-08-03;PM;??;100873;1;1;100;89;95;8;292
2025-08-03;PM;??;101448;1;4;92;98;100;2;292
2025-08-03;PM;??;100875;1;1;95;94;97;5;291
2025-08-03;PM;??;101083;0;2;98;95;91;7;291
2025-08-03;PM;??;101363;1;2;88;98;100;5;291
2025-08-03;PM;??;101484;0;1;94;88;100;9;291
2025-08-03;PM;??;100973;1;1;100;95;92;3;290
2025-08-03;PM;??;101321;1;2;100;97;92;1;290
2025-08-03;PM;??;101781;1;3;100;86;100;4;290
2025-08-03;PM;??;101810;1;1;86;100;99;5;290
2025-08-03;PM;??;101932;0;1;91;93;100;6;290
2025-08-03;PM;??;101066;1;1;87;100;100;2;289
2025-08-03;PM;??;101129;0;1;98;100;90;1;289
2025-08-03;PM;??;101640;1;2;98;92;92;7;289
2025-08-03;PM;??;101717;1;3;90;100;98;1;289
2025-08-03;PM;??;100878;1;1;84;100;100;4;288
2025-08-03;PM;??;100969;1;1;100;96;88;4;288
2025-08-03;PM;??;100970;1;1;100;85;100;3;288
2025-08-03;PM;??;101026;1;1;93;95;100;0;288
2025-08-03;PM;??;101135;0;1;91;92;100;5;288
2025-08-03;PM;??;101332;0;4;100;88;95;5;288
2025-08-03;PM;??;101375;1;1;93;100;89;6;288
2025-08-03;PM;??;101469;0;4;91;98;98;1;288
2025-08-03;PM;??;100768;0;4;95;99;89;4;287
2025-08-03;PM;??;101364;0;1;96;100;87;4;287
2025-08-03;PM;??;101366;1;2;98;97;82;10;287
2025-08-03;PM;??;101910;1;3;92;93;95;7;287
2025-08-03;PM;??;100813;1;1;100;100;76;10;286
2025-08-03;PM;??;100951;1;1;100;91;94;1;286
2025-08-03;PM;??;101808;0;1;81;98;100;7;286
2025-08-03;PM;??;101856;1;2;80;100;99;7;286
2025-08-03;PM;??;101875;1;1;89;98;99;0;286
2025-08-03;PM;??;101958;1;1;84;100;97;5;286
2025-08-03;PM;??;101030;1;4;85;92;100;8;285
2025-08-03;PM;??;101040;0;1;91;100;85;9;285
2025-08-03;PM;??;101144;1;1;88;92;95;10;285
2025-08-03;PM;??;101853;0;4;100;85;92;8;285
2025-08-03;PM;??;100912;1;1;90;95;94;5;284
2025-08-03;PM;??;101628;1;1;100;82;100;2;284
2025-08-03;PM;??;101766;1;3;97;89;94;4;284
2025-08-03;PM;??;101111;1;2;96;100;85;2;283
2025-08-03;PM;??;101751;0;1;77;100;100;6;283
2025-08-03;PM;??;101938;1;2;100;100;78;5;283
2025-08-03;PM;??;100886;1;1;98;81;100;3;282
