Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-04;ITSS;????;103740;1;3;100;100;100;10;310
2025-08-04;ITSS;????;102397;1;2;100;100;100;9;309
2025-08-04;ITSS;????;102325;0;4;100;100;99;8;307
2025-08-04;ITSS;????;102273;1;4;100;100;99;7;306
2025-08-04;ITSS;????;102763;1;3;100;100;100;6;306
2025-08-04;ITSS;????;103461;1;2;100;100;100;6;306
2025-08-04;ITSS;????;102940;1;4;97;100;100;8;305
2025-08-04;ITSS;????;103468;1;4;100;100;100;5;305
2025-08-04;ITSS;????;103700;0;4;100;99;100;6;305
2025-08-04;ITSS;????;102255;1;2;100;95;100;9;304
2025-08-04;ITSS;????;102291;1;3;100;100;99;5;304
2025-08-04;ITSS;????;102510;1;2;100;100;100;4;304
2025-08-04;ITSS;????;103551;1;4;100;100;100;4;304
2025-08-04;ITSS;????;102461;0;4;100;100;100;3;303
2025-08-04;ITSS;????;103877;1;2;96;100;100;7;303
2025-08-04;ITSS;????;102234;1;4;100;100;100;2;302
2025-08-04;ITSS;????;102680;1;2;100;100;100;2;302
2025-08-04;ITSS;????;102825;1;3;98;100;100;4;302
2025-08-04;ITSS;????;103691;1;4;100;100;100;2;302
2025-08-04;ITSS;????;103821;1;4;100;100;100;2;302
2025-08-04;ITSS;????;102300;1;3;100;93;98;10;301
2025-08-04;ITSS;????;102644;0;2;100;100;100;1;301
2025-08-04;ITSS;????;102727;1;3;96;100;98;7;301
2025-08-04;ITSS;????;103681;1;3;100;100;91;10;301
2025-08-04;ITSS;????;102295;1;1;100;99;97;4;300
2025-08-04;ITSS;????;102489;1;3;93;99;100;8;300
2025-08-04;ITSS;????;103518;1;2;92;100;98;10;300
2025-08-04;ITSS;????;103600;1;2;100;100;100;0;300
2025-08-04;ITSS;????;103780;0;3;100;100;100;0;300
2025-08-04;ITSS;????;102711;1;3;95;100;100;4;299
2025-08-04;ITSS;????;103550;1;3;99;99;100;1;299
2025-08-04;ITSS;????;103570;1;3;100;91;100;8;299
2025-08-04;ITSS;????;102271;1;4;100;94;100;4;298
2025-08-04;ITSS;????;102403;1;3;100;100;92;5;297
2025-08-04;ITSS;????;102735;0;4;100;94;95;8;297
2025-08-04;ITSS;????;103326;0;3;100;95;100;2;297
2025-08-04;ITSS;????;103635;0;3;94;100;100;3;297
2025-08-04;ITSS;????;103844;0;2;99;93;100;5;297
2025-08-04;ITSS;????;102516;1;4;100;94;94;8;296
